seed,t,cum_eats,cum_danger,cum_awakenings,energy,mb_firing_rate,mb_w_self_mean,mb_to_motor_w_mean,mb_to_motor_w_max,cx_to_motor_w_mean,lh_to_motor_w_mean,seg_to_motor_w_mean,vis_to_mush_w_mean,mirror,awareness_idx,collapse,presence,self_pe
2,48000,2319,165,266,1.0,0.023005,0.06326579302549362,0.13349685072898865,1.9999899864196777,0.34739047288894653,0.35772550106048584,0.33164501190185547,0.0573323629796505,0.5544209173227013,0.6538461538461539,0.8077524604521291,0.9675968484820077,0.11696648583190841
2,49000,2361,165,272,0.829721972203255,0.020929999999999997,0.0630006492137909,0.13579602539539337,1.9999899864196777,0.34829840064048767,0.35867881774902344,0.33530208468437195,0.05767473950982094,0.5793203157702518,0.7037037037037037,0.5909320555153028,0.969046389917287,0.18698942408828428
2,50000,2429,165,277,0.9867069068193435,0.016505,0.06257370114326477,0.13954173028469086,1.9999899864196777,0.34967365860939026,0.36002010107040405,0.34076398611068726,0.0582289882004261,0.608390997983223,0.8478260869565217,0.9003963625623365,0.9631428538279909,0.2342561039345064
2,51000,2473,165,284,0.9970488786458969,0.022015,0.0622989721596241,0.14195410907268524,1.9999899864196777,0.3507658839225769,0.3611859977245331,0.3442615568637848,0.058590762317180634,0.5815864126808187,0.8604651162790697,0.8188839338813774,0.9641360070308703,0.26631457540035175
2,52000,2525,165,294,0.680794225025177,0.017495,0.061975885182619095,0.14474153518676758,1.9999899864196777,0.35185977816581726,0.3623887598514557,0.3479286730289459,0.05902165547013283,0.5729850026044137,0.8695652173913043,0.5911687099618554,0.9675762068378355,0.04777735928562001
2,53000,2594,165,298,1.0,0.02216,0.06154973432421684,0.14835616946220398,1.9999899864196777,0.3532944917678833,0.3638988733291626,0.3524932265281677,0.059604711830616,0.5658151935457525,0.9090909090909091,0.9016666371661131,0.9652566762921575,0.28307145421956403
2,54000,2657,176,303,0.9437239963054658,0.01836,0.06116319075226784,0.15165552496910095,1.9999899864196777,0.3543647825717926,0.3650051951408386,0.356379896402359,0.06014595553278923,0.5674054504559491,0.9473684210526315,0.8207031279635252,0.9713569549868102,0.17571087618983194
2,55000,2709,179,311,0.9281036236763001,0.020915,0.060845982283353806,0.1543673872947693,1.9999899864196777,0.35529017448425293,0.3658992052078247,0.35947662591934204,0.06059880927205086,0.5969883691997472,0.6923076923076923,0.5941284451840465,0.9622978161055009,0.12316919059846537
2,56000,2771,192,315,0.9276910187482829,0.024630000000000003,0.06046995148062706,0.15750835835933685,1.9999899864196777,0.35657253861427307,0.3672587275505066,0.3629302978515625,0.06112845242023468,0.549844756992228,1.0,0.9034713500700344,0.9628606018087748,0.2015475243355067
2,57000,2812,200,324,0.9985250684261322,0.021019999999999997,0.060222554951906204,0.15960070490837097,1.9999899864196777,0.3571513891220093,0.36788007616996765,0.3650215268135071,0.06148230656981468,0.5798625682041296,0.631578947368421,0.8166188996221243,0.963635139140326,0.27716476893613295
2,58000,2845,201,329,0.7118041809320451,0.018815,0.060024160891771317,0.1612221896648407,1.9999899864196777,0.3576068878173828,0.368391752243042,0.3667042851448059,0.061756234616041183,0.5685491788386737,0.8913043478260869,0.57324631358908,0.9750311400262324,0.6065861502515514
2,59000,2886,202,331,0.9644931156158449,0.02111,0.059778593480587006,0.16321659088134766,1.9999899864196777,0.3581368923187256,0.3689516484737396,0.368622362613678,0.062105268239974976,0.5408653508676333,0.8571428571428571,0.8792304986471707,0.970166280481224,0.4017588521257232
2,60000,2931,204,337,0.936361622095108,0.019165,0.059510208666324615,0.165346160531044,1.9999899864196777,0.3592453598976135,0.3701445758342743,0.37065422534942627,0.062487389892339706,0.5570975969704843,0.8571428571428571,0.8148300952941495,0.9689542916570736,0.19459143463538014
2,61000,2977,208,345,0.929374668669701,0.01885,0.059237122535705566,0.16745951771736145,1.9999899864196777,0.3601069748401642,0.3709809482097626,0.37274086475372314,0.06287837773561478,0.6152330517426878,0.9302325581395349,0.6739923572643248,0.9729515168838536,0.5875776947570192
